"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 01:16:27 GMT 2024","Wed Jun 26 01:16:28 GMT 2024","665","chromium","e2e/UserRegistration.spec.ts","","","","Cep obrigatorio",""
"passed","Wed Jun 26 01:16:24 GMT 2024","Wed Jun 26 01:16:25 GMT 2024","351","chromium","e2e/Login.spec.ts","","","","não realizar login com usuario incorreto",""
"passed","Wed Jun 26 01:16:25 GMT 2024","Wed Jun 26 01:16:26 GMT 2024","349","chromium","e2e/Login.spec.ts","","","","não realizar login quando senha em branco",""
"passed","Wed Jun 26 01:16:23 GMT 2024","Wed Jun 26 01:16:24 GMT 2024","716","chromium","e2e/BuyProduct.spec.ts","","","","Comprar o ultimo produto ordernado pelo alfabeto",""
"passed","Wed Jun 26 01:16:22 GMT 2024","Wed Jun 26 01:16:22 GMT 2024","749","chromium","e2e/BuyProduct.spec.ts","","","","Comprar o produto mais caro",""
"passed","Wed Jun 26 01:16:20 GMT 2024","Wed Jun 26 01:16:22 GMT 2024","1091","chromium","e2e/BuyProduct.spec.ts","","","","Comprar o produto mais barato",""
"passed","Wed Jun 26 01:16:25 GMT 2024","Wed Jun 26 01:16:25 GMT 2024","344","chromium","e2e/Login.spec.ts","","","","não realizar login quando usuario em branco",""
"passed","Wed Jun 26 01:16:26 GMT 2024","Wed Jun 26 01:16:27 GMT 2024","712","chromium","e2e/UserRegistration.spec.ts","","","","Sobrenome obrigatorio",""
"passed","Wed Jun 26 01:16:25 GMT 2024","Wed Jun 26 01:16:25 GMT 2024","352","chromium","e2e/Login.spec.ts","","","","não realizar login com senha incorreto",""
"passed","Wed Jun 26 01:16:24 GMT 2024","Wed Jun 26 01:16:24 GMT 2024","406","chromium","e2e/Login.spec.ts","","","","realizar login com sucesso",""
"passed","Wed Jun 26 01:16:22 GMT 2024","Wed Jun 26 01:16:23 GMT 2024","714","chromium","e2e/BuyProduct.spec.ts","","","","Comprar o primeiro produto ordernado pelo alfabeto",""
"passed","Wed Jun 26 01:16:26 GMT 2024","Wed Jun 26 01:16:26 GMT 2024","678","chromium","e2e/UserRegistration.spec.ts","","","","Primeiro nome obrigatorio",""
