"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 00:43:51 GMT 2024","Wed Jun 26 00:43:53 GMT 2024","2100","chromium","e2e/BuyProduct.spec.ts","","","","Comprar o produto mais barato",""
"passed","Wed Jun 26 00:43:57 GMT 2024","Wed Jun 26 00:43:58 GMT 2024","626","chromium","e2e/UserRegistration.spec.ts","","","","Primeiro nome obrigatorio",""
"passed","Wed Jun 26 00:43:55 GMT 2024","Wed Jun 26 00:43:55 GMT 2024","681","chromium","e2e/BuyProduct.spec.ts","","","","Comprar o ultimo produto ordernado pelo alfabeto",""
"passed","Wed Jun 26 00:43:54 GMT 2024","Wed Jun 26 00:43:55 GMT 2024","716","chromium","e2e/BuyProduct.spec.ts","","","","Comprar o primeiro produto ordernado pelo alfabeto",""
"passed","Wed Jun 26 00:43:56 GMT 2024","Wed Jun 26 00:43:56 GMT 2024","319","chromium","e2e/Login.spec.ts","","","","não realizar login com usuario incorreto",""
"passed","Wed Jun 26 00:43:53 GMT 2024","Wed Jun 26 00:43:54 GMT 2024","689","chromium","e2e/BuyProduct.spec.ts","","","","Comprar o produto mais caro",""
"passed","Wed Jun 26 00:43:57 GMT 2024","Wed Jun 26 00:43:57 GMT 2024","359","chromium","e2e/Login.spec.ts","","","","não realizar login quando usuario em branco",""
"passed","Wed Jun 26 00:43:55 GMT 2024","Wed Jun 26 00:43:56 GMT 2024","387","chromium","e2e/Login.spec.ts","","","","realizar login com sucesso",""
"passed","Wed Jun 26 00:43:58 GMT 2024","Wed Jun 26 00:43:58 GMT 2024","648","chromium","e2e/UserRegistration.spec.ts","","","","Sobrenome obrigatorio",""
"passed","Wed Jun 26 00:43:57 GMT 2024","Wed Jun 26 00:43:57 GMT 2024","332","chromium","e2e/Login.spec.ts","","","","não realizar login quando senha em branco",""
"passed","Wed Jun 26 00:43:56 GMT 2024","Wed Jun 26 00:43:56 GMT 2024","335","chromium","e2e/Login.spec.ts","","","","não realizar login com senha incorreto",""
"passed","Wed Jun 26 00:43:58 GMT 2024","Wed Jun 26 00:43:59 GMT 2024","664","chromium","e2e/UserRegistration.spec.ts","","","","Cep obrigatorio",""
