"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 26 00:57:34 GMT 2024","Wed Jun 26 00:57:35 GMT 2024","661","chromium","e2e/UserRegistration.spec.ts","","","","Primeiro nome obrigatorio",""
"passed","Wed Jun 26 00:57:29 GMT 2024","Wed Jun 26 00:57:30 GMT 2024","1083","chromium","e2e/BuyProduct.spec.ts","","","","Comprar o produto mais barato",""
"passed","Wed Jun 26 00:57:32 GMT 2024","Wed Jun 26 00:57:33 GMT 2024","394","chromium","e2e/Login.spec.ts","","","","realizar login com sucesso",""
"passed","Wed Jun 26 00:57:35 GMT 2024","Wed Jun 26 00:57:35 GMT 2024","632","chromium","e2e/UserRegistration.spec.ts","","","","Sobrenome obrigatorio",""
"passed","Wed Jun 26 00:57:32 GMT 2024","Wed Jun 26 00:57:32 GMT 2024","699","chromium","e2e/BuyProduct.spec.ts","","","","Comprar o ultimo produto ordernado pelo alfabeto",""
"passed","Wed Jun 26 00:57:31 GMT 2024","Wed Jun 26 00:57:32 GMT 2024","682","chromium","e2e/BuyProduct.spec.ts","","","","Comprar o primeiro produto ordernado pelo alfabeto",""
"passed","Wed Jun 26 00:57:34 GMT 2024","Wed Jun 26 00:57:34 GMT 2024","327","chromium","e2e/Login.spec.ts","","","","não realizar login quando senha em branco",""
"passed","Wed Jun 26 00:57:33 GMT 2024","Wed Jun 26 00:57:33 GMT 2024","345","chromium","e2e/Login.spec.ts","","","","não realizar login com senha incorreto",""
"passed","Wed Jun 26 00:57:35 GMT 2024","Wed Jun 26 00:57:36 GMT 2024","646","chromium","e2e/UserRegistration.spec.ts","","","","Cep obrigatorio",""
"passed","Wed Jun 26 00:57:33 GMT 2024","Wed Jun 26 00:57:33 GMT 2024","333","chromium","e2e/Login.spec.ts","","","","não realizar login com usuario incorreto",""
"passed","Wed Jun 26 00:57:30 GMT 2024","Wed Jun 26 00:57:31 GMT 2024","720","chromium","e2e/BuyProduct.spec.ts","","","","Comprar o produto mais caro",""
"passed","Wed Jun 26 00:57:33 GMT 2024","Wed Jun 26 00:57:34 GMT 2024","331","chromium","e2e/Login.spec.ts","","","","não realizar login quando usuario em branco",""
